epoch,test/accuracy_mean,test/accuracy_0,test/accuracy_1,test/accuracy,test/accuracytop5,general/checkpoint_saved
1,43.11%,41.18%,45.04%,44.85%,92.17%,1
2,58.32%,59.16%,57.48%,61.85%,96.54%,1
3,63.41%,64.51%,62.32%,66.46%,97.30%,1
4,66.40%,67.36%,65.43%,69.44%,97.52%,1
5,70.17%,76.75%,63.58%,75.54%,98.42%,1
6,74.98%,75.79%,74.17%,78.25%,98.84%,1
7,76.79%,76.74%,76.84%,79.92%,99.24%,1
8,80.48%,79.88%,81.09%,83.44%,99.18%,1
9,74.91%,72.59%,77.23%,78.07%,99.01%,0
10,79.38%,80.61%,78.15%,81.79%,99.20%,0
11,79.64%,76.22%,83.05%,82.38%,99.30%,0
12,83.91%,82.91%,84.91%,86.92%,99.48%,1
13,81.30%,82.36%,80.23%,84.04%,99.14%,0
14,81.04%,81.14%,80.94%,84.59%,99.37%,0
15,84.70%,84.93%,84.46%,87.25%,99.61%,1
16,85.28%,84.36%,86.21%,88.26%,99.53%,1
17,84.68%,82.77%,86.59%,87.46%,99.60%,0
18,85.95%,86.18%,85.73%,88.43%,99.66%,1
19,84.78%,81.87%,87.68%,88.01%,99.56%,0
20,84.56%,86.56%,82.57%,88.22%,99.60%,0
21,84.03%,80.94%,87.12%,87.88%,99.55%,0
22,85.75%,85.65%,85.85%,88.78%,99.59%,1
23,86.30%,85.05%,87.54%,88.59%,99.63%,0
24,86.51%,87.21%,85.81%,88.73%,99.59%,0
25,84.88%,87.43%,82.33%,88.89%,99.51%,1
26,86.62%,87.06%,86.19%,88.94%,99.29%,1
27,87.48%,87.37%,87.60%,89.97%,99.65%,1
28,86.24%,87.28%,85.21%,88.34%,99.44%,0
29,85.02%,86.36%,83.67%,88.48%,99.52%,0
30,87.11%,87.00%,87.21%,89.28%,99.58%,0
31,84.54%,83.11%,85.96%,87.01%,99.61%,0
32,88.93%,88.22%,89.64%,90.97%,99.77%,1
33,86.32%,87.95%,84.69%,89.06%,99.67%,0
34,86.31%,85.16%,87.46%,88.57%,99.59%,0
35,87.67%,88.87%,86.47%,90.26%,99.75%,0
36,86.57%,87.59%,85.55%,89.48%,99.65%,0
37,87.78%,86.54%,89.02%,89.71%,99.46%,0
38,87.64%,86.23%,89.06%,89.97%,99.72%,0
39,88.58%,88.38%,88.77%,90.79%,99.69%,0
40,87.76%,87.25%,88.27%,90.30%,99.71%,0
41,86.98%,86.28%,87.69%,89.96%,99.67%,0
42,85.83%,85.43%,86.23%,88.54%,99.63%,0
43,84.95%,87.84%,82.06%,88.92%,99.67%,0
44,88.00%,87.46%,88.55%,90.49%,99.63%,0
45,86.11%,84.04%,88.17%,88.78%,99.66%,0
46,86.98%,86.77%,87.18%,89.87%,99.70%,0
47,87.56%,86.80%,88.31%,90.18%,99.77%,0
48,86.41%,87.47%,85.34%,89.31%,99.60%,0
49,87.81%,86.67%,88.95%,90.93%,99.66%,0
50,88.56%,87.38%,89.73%,90.98%,99.78%,1
51,86.77%,85.65%,87.89%,89.65%,99.65%,0
52,86.53%,89.05%,84.02%,90.18%,99.69%,0
53,87.44%,88.12%,86.75%,90.22%,99.71%,0
54,87.54%,88.57%,86.50%,89.70%,99.69%,0
55,86.08%,84.51%,87.65%,88.80%,99.64%,0
56,88.85%,88.90%,88.80%,90.67%,99.74%,0
57,88.85%,88.78%,88.93%,91.38%,99.78%,1
58,87.78%,88.36%,87.19%,89.87%,99.72%,0
59,87.63%,87.24%,88.02%,90.31%,99.68%,0
60,88.98%,87.99%,89.97%,90.96%,99.70%,0
61,87.94%,87.09%,88.78%,90.63%,99.77%,0
62,85.42%,83.65%,87.20%,88.28%,99.69%,0
63,89.41%,88.91%,89.90%,91.34%,99.74%,0
64,88.95%,89.37%,88.53%,91.30%,99.69%,0
65,86.35%,87.98%,84.72%,89.65%,99.67%,0
66,88.26%,87.47%,89.06%,90.96%,99.79%,0
67,88.36%,88.73%,87.98%,91.24%,99.71%,0
68,89.59%,90.25%,88.92%,91.20%,99.72%,0
69,87.55%,87.62%,87.47%,89.62%,99.59%,0
70,89.52%,89.43%,89.61%,91.69%,99.69%,1
71,89.34%,90.35%,88.33%,91.89%,99.85%,1
72,88.82%,87.87%,89.77%,91.42%,99.62%,0
73,88.72%,88.86%,88.58%,90.91%,99.76%,0
74,84.34%,82.94%,85.73%,87.88%,99.69%,0
75,89.13%,89.31%,88.95%,91.08%,99.80%,0
76,88.14%,86.43%,89.85%,90.86%,99.71%,0
77,86.97%,88.43%,85.51%,90.50%,99.74%,0
78,88.31%,87.41%,89.20%,90.76%,99.77%,0
79,90.05%,90.64%,89.46%,92.02%,99.72%,1
80,88.24%,88.27%,88.21%,90.56%,99.75%,0
81,88.41%,86.75%,90.07%,90.91%,99.74%,0
