epoch,test/accuracy_mean,test/accuracy_0,test/accuracy_1,test/accuracy,test/accuracytop5,general/checkpoint_saved
1,48.04%,46.17%,49.91%,51.08%,94.42%,1.0
2,53.58%,50.88%,56.29%,57.03%,94.90%,1.0
3,57.02%,54.13%,59.92%,59.76%,96.78%,1.0
4,62.36%,60.38%,64.33%,69.51%,97.33%,1.0
5,66.16%,63.30%,69.02%,70.19%,97.77%,1.0
6,72.08%,72.68%,71.47%,75.23%,98.46%,1.0
7,71.03%,71.67%,70.38%,75.15%,98.79%,0.0
8,71.42%,73.28%,69.55%,76.93%,98.33%,1.0
9,52.40%,42.16%,62.65%,56.70%,96.19%,0.0
10,67.69%,72.44%,62.95%,71.64%,98.19%,0.0
11,73.08%,72.07%,74.10%,76.09%,98.65%,0.0
12,73.96%,74.33%,73.60%,78.85%,98.47%,1.0
13,77.24%,79.90%,74.57%,80.78%,99.10%,1.0
14,74.88%,73.86%,75.90%,79.65%,99.07%,0.0
15,75.26%,73.72%,76.79%,81.21%,99.17%,1.0
16,79.61%,80.48%,78.74%,83.23%,98.92%,1.0
17,77.08%,75.40%,78.75%,81.27%,99.08%,0.0
18,78.38%,78.96%,77.80%,81.26%,98.87%,0.0
19,76.77%,76.58%,76.96%,80.72%,99.21%,0.0
20,79.73%,79.50%,79.96%,83.33%,98.98%,1.0
21,81.23%,79.82%,82.64%,85.20%,99.34%,1.0
22,80.55%,79.53%,81.57%,83.15%,99.19%,0.0
23,80.58%,83.19%,77.98%,83.23%,98.99%,0.0
24,84.04%,84.36%,83.72%,86.08%,99.42%,1.0
25,85.97%,87.10%,84.85%,88.16%,99.53%,1.0
26,85.43%,85.90%,84.96%,88.09%,99.67%,0.0
27,86.09%,85.92%,86.26%,88.04%,99.56%,0.0
28,86.55%,87.23%,85.87%,89.03%,99.52%,1.0
29,85.78%,84.59%,86.96%,88.60%,99.62%,0.0
30,88.23%,89.68%,86.78%,90.41%,99.54%,1.0
31,88.38%,87.32%,89.43%,90.32%,99.71%,0.0
32,91.12%,91.08%,91.16%,92.49%,99.86%,1.0
33,90.56%,91.08%,90.04%,92.26%,99.79%,0.0
34,90.69%,90.38%,91.00%,92.24%,99.89%,0.0
35,91.14%,91.35%,90.92%,92.19%,99.88%,0.0
36,92.12%,92.11%,92.14%,93.43%,99.88%,1.0
37,93.06%,93.05%,93.07%,94.05%,99.88%,1.0
38,93.95%,93.83%,94.07%,94.80%,99.89%,1.0
39,94.11%,94.24%,93.99%,94.87%,99.89%,1.0
40,93.84%,94.00%,93.67%,94.97%,99.90%,1.0
41,87.15%,86.93%,87.37%,89.48%,99.68%,0.0
42,87.62%,87.96%,87.29%,90.23%,99.71%,0.0
43,88.15%,89.91%,86.38%,90.76%,99.74%,0.0
44,87.83%,86.79%,88.88%,89.53%,99.72%,0.0
