epoch,test/accuracy_mean,test/accuracy_0,test/accuracy_1,test/accuracy,test/accuracytop5,general/checkpoint_saved
1,7.36%,6.77%,7.96%,8.95%,27.72%,1.0
2,15.68%,15.85%,15.50%,17.66%,43.26%,1.0
3,20.82%,19.70%,21.94%,23.53%,50.50%,1.0
4,26.30%,25.56%,27.04%,29.05%,57.20%,1.0
5,27.59%,27.81%,27.36%,30.34%,58.73%,1.0
6,31.91%,31.46%,32.36%,34.75%,62.54%,1.0
7,31.10%,29.74%,32.46%,34.91%,63.42%,1.0
8,33.86%,34.01%,33.70%,37.18%,66.05%,1.0
9,36.27%,36.23%,36.30%,39.83%,68.56%,1.0
10,35.48%,33.58%,37.38%,40.29%,68.85%,1.0
11,38.90%,38.80%,39.00%,42.49%,70.34%,1.0
12,39.09%,38.60%,39.59%,43.25%,71.10%,1.0
13,41.35%,41.42%,41.28%,45.32%,71.99%,1.0
14,40.66%,42.28%,39.04%,44.87%,72.34%,0.0
15,40.32%,38.96%,41.68%,45.03%,72.60%,0.0
16,39.42%,41.01%,37.83%,43.73%,71.55%,0.0
17,41.61%,42.14%,41.08%,45.56%,73.24%,1.0
18,41.85%,41.21%,42.49%,45.57%,73.09%,1.0
19,43.67%,43.11%,44.24%,47.25%,74.80%,1.0
20,43.73%,43.55%,43.90%,48.01%,75.14%,1.0
21,45.01%,45.85%,44.16%,48.71%,75.30%,1.0
22,42.61%,41.26%,43.95%,47.03%,73.97%,0.0
23,43.77%,43.19%,44.36%,47.45%,74.54%,0.0
24,41.75%,40.79%,42.72%,46.15%,73.32%,0.0
25,43.54%,43.32%,43.76%,46.96%,74.75%,0.0
26,45.06%,43.68%,46.45%,49.34%,76.03%,1.0
27,44.52%,44.70%,44.34%,48.82%,75.42%,0.0
28,43.96%,42.92%,45.01%,47.63%,75.24%,0.0
29,44.37%,43.54%,45.20%,47.94%,74.75%,0.0
30,43.62%,44.98%,42.27%,47.79%,74.55%,0.0
31,45.20%,46.25%,44.15%,49.32%,75.96%,0.0
32,46.01%,47.77%,44.25%,50.38%,77.26%,1.0
33,45.07%,44.70%,45.44%,49.36%,76.38%,0.0
34,47.75%,47.15%,48.36%,51.25%,77.40%,1.0
35,44.41%,42.79%,46.02%,48.51%,75.17%,0.0
36,45.59%,45.44%,45.73%,49.48%,75.81%,0.0
37,46.11%,45.34%,46.87%,50.53%,76.56%,0.0
38,45.94%,46.11%,45.77%,50.66%,76.91%,0.0
39,46.76%,46.88%,46.64%,50.90%,77.02%,0.0
40,45.76%,46.22%,45.29%,50.56%,76.87%,0.0
41,46.13%,46.09%,46.17%,50.36%,76.77%,0.0
42,47.14%,48.21%,46.08%,51.42%,78.04%,1.0
43,46.62%,46.09%,47.15%,51.20%,77.38%,0.0
44,47.62%,47.77%,47.47%,51.66%,78.47%,1.0
45,44.72%,43.36%,46.08%,49.30%,75.96%,0.0
46,46.00%,45.17%,46.83%,50.59%,77.11%,0.0
47,46.39%,45.76%,47.02%,50.96%,78.13%,0.0
48,47.91%,48.56%,47.27%,52.31%,78.38%,1.0
49,47.42%,47.53%,47.32%,51.80%,78.44%,0.0
50,47.20%,48.32%,46.07%,51.21%,77.31%,0.0
51,47.32%,46.77%,47.86%,51.37%,77.11%,0.0
52,46.96%,46.85%,47.06%,50.86%,76.64%,0.0
49,47.19%,46.93%,47.45%,51.49%,77.96%,1.0
50,46.44%,46.06%,46.82%,50.75%,77.34%,0.0
51,46.80%,45.74%,47.87%,51.10%,77.98%,0.0
52,48.95%,48.89%,49.00%,53.04%,78.56%,1.0
53,48.32%,48.67%,47.97%,52.57%,78.34%,0.0
54,47.09%,46.90%,47.29%,51.31%,78.23%,0.0
55,47.88%,48.89%,46.87%,52.04%,77.92%,0.0
56,47.06%,46.86%,47.26%,51.06%,76.88%,0.0
57,48.64%,48.54%,48.74%,53.17%,78.17%,1.0
58,49.63%,49.86%,49.41%,54.47%,79.54%,1.0
59,49.78%,49.70%,49.86%,53.65%,79.32%,0.0
60,48.93%,49.65%,48.21%,53.27%,78.74%,0.0
61,48.69%,49.26%,48.12%,52.98%,78.10%,0.0
62,49.52%,49.53%,49.51%,53.77%,79.90%,0.0
63,48.15%,46.78%,49.52%,52.53%,78.59%,0.0
64,48.21%,48.93%,47.49%,52.47%,78.53%,0.0
65,47.96%,47.67%,48.25%,52.14%,77.94%,0.0
66,46.28%,46.89%,45.68%,50.95%,77.16%,0.0
67,47.53%,47.43%,47.63%,51.78%,77.72%,0.0
68,48.58%,48.78%,48.37%,52.62%,78.46%,0.0
69,48.80%,47.64%,49.97%,53.42%,78.71%,0.0
70,49.00%,49.21%,48.80%,53.12%,78.65%,0.0
71,46.72%,46.25%,47.19%,51.38%,77.39%,0.0
72,48.53%,48.37%,48.69%,53.39%,78.92%,0.0
73,48.35%,48.15%,48.55%,52.84%,78.27%,0.0
74,49.29%,49.82%,48.76%,53.88%,79.03%,0.0
75,49.46%,49.76%,49.16%,53.67%,78.71%,0.0
76,48.37%,49.29%,47.45%,52.63%,78.62%,0.0
