epoch,test/accuracy_mean,test/accuracy_0,test/accuracy_1,test/accuracy,test/accuracytop5,general/checkpoint_saved
1,9.96%,10.63%,9.29%,11.15%,31.57%,1.0
2,20.02%,20.96%,19.07%,21.65%,49.04%,1.0
3,24.61%,25.02%,24.21%,26.80%,54.07%,1.0
4,28.82%,28.63%,29.01%,31.45%,59.94%,1.0
5,34.51%,35.25%,33.78%,37.24%,65.49%,1.0
6,34.58%,34.76%,34.40%,37.60%,65.68%,1.0
7,35.78%,34.32%,37.25%,38.75%,67.02%,1.0
8,38.93%,39.44%,38.42%,42.40%,70.25%,1.0
9,38.55%,39.36%,37.74%,41.71%,70.70%,0.0
10,40.40%,41.01%,39.78%,43.65%,71.67%,1.0
11,41.02%,41.56%,40.47%,44.07%,72.31%,1.0
12,41.15%,41.99%,40.32%,44.38%,72.48%,1.0
13,43.83%,44.58%,43.08%,47.77%,74.33%,1.0
14,42.98%,43.58%,42.38%,47.00%,73.76%,0.0
15,43.49%,43.17%,43.82%,47.54%,74.53%,0.0
16,44.25%,45.03%,43.46%,48.36%,74.95%,1.0
17,43.83%,43.82%,43.83%,48.09%,74.85%,0.0
18,43.13%,43.80%,42.46%,47.30%,74.25%,0.0
19,45.01%,45.78%,44.24%,49.18%,75.77%,1.0
20,44.98%,43.75%,46.20%,49.58%,76.11%,1.0
21,45.51%,45.76%,45.25%,49.88%,76.32%,1.0
22,44.32%,43.60%,45.04%,48.65%,75.47%,0.0
23,45.22%,45.97%,44.47%,49.24%,76.00%,0.0
24,45.26%,45.92%,44.60%,49.88%,76.09%,1.0
25,45.12%,45.43%,44.81%,49.60%,76.08%,0.0
26,45.50%,45.94%,45.07%,49.69%,76.97%,0.0
27,45.57%,44.50%,46.64%,49.68%,75.43%,0.0
28,45.82%,45.36%,46.29%,50.12%,76.91%,1.0
29,45.98%,46.52%,45.44%,50.71%,76.47%,1.0
30,44.92%,44.42%,45.43%,49.10%,75.99%,0.0
31,45.25%,45.47%,45.02%,49.58%,75.99%,0.0
32,45.95%,46.87%,45.02%,50.07%,76.70%,0.0
33,45.88%,46.97%,44.78%,50.41%,77.56%,0.0
34,46.79%,45.63%,47.95%,51.78%,77.17%,1.0
35,46.18%,45.74%,46.63%,49.97%,76.24%,0.0
36,46.76%,47.37%,46.15%,51.16%,76.59%,0.0
37,47.22%,47.49%,46.95%,51.72%,77.83%,0.0
38,46.79%,46.79%,46.79%,51.17%,77.28%,0.0
39,46.79%,45.98%,47.61%,51.62%,77.32%,0.0
40,48.70%,49.52%,47.88%,53.69%,78.67%,1.0
41,46.98%,47.04%,46.93%,51.49%,76.64%,0.0
42,47.18%,46.55%,47.81%,52.13%,77.86%,0.0
43,46.97%,46.44%,47.50%,51.29%,76.71%,0.0
44,48.10%,47.84%,48.36%,52.33%,78.66%,0.0
45,46.48%,47.09%,45.88%,51.50%,77.07%,0.0
46,47.14%,48.16%,46.12%,51.79%,77.60%,0.0
47,46.87%,46.13%,47.60%,51.14%,77.87%,0.0
48,48.32%,48.26%,48.39%,53.08%,78.55%,0.0
49,48.05%,48.79%,47.30%,52.63%,78.56%,0.0
50,47.57%,46.94%,48.19%,52.19%,77.83%,0.0
51,47.80%,48.35%,47.25%,52.66%,78.28%,0.0
52,47.15%,47.23%,47.07%,51.75%,77.54%,0.0
41,48.24%,48.60%,47.88%,53.10%,78.58%,1.0
42,47.38%,48.62%,46.14%,52.75%,77.62%,0.0
43,46.81%,46.91%,46.71%,51.14%,76.98%,0.0
44,48.41%,49.01%,47.82%,52.91%,78.75%,0.0
45,46.25%,46.39%,46.10%,50.92%,77.25%,0.0
46,46.58%,47.36%,45.80%,51.04%,76.98%,0.0
47,48.30%,47.95%,48.65%,53.02%,78.20%,0.0
48,47.61%,47.62%,47.60%,52.29%,77.07%,0.0
49,48.41%,48.39%,48.42%,53.52%,78.59%,1.0
50,48.21%,48.10%,48.33%,52.90%,77.61%,0.0
51,48.57%,49.19%,47.94%,53.02%,78.32%,0.0
52,47.12%,48.43%,45.80%,51.67%,77.07%,0.0
53,47.14%,47.21%,47.07%,51.83%,77.67%,0.0
54,49.29%,48.54%,50.03%,54.17%,78.79%,1.0
55,47.99%,48.78%,47.20%,53.37%,78.55%,0.0
56,47.35%,47.38%,47.32%,52.04%,78.11%,0.0
57,48.38%,48.26%,48.49%,52.86%,77.72%,0.0
