epoch,test/accuracy,test/accuracytop5,general/checkpoint_saved
1,12.64%,32.59%,1.0
2,22.51%,47.09%,1.0
3,30.72%,59.01%,1.0
4,34.28%,62.55%,1.0
5,39.42%,67.54%,1.0
6,39.90%,67.82%,1.0
7,41.98%,69.67%,1.0
8,41.31%,69.38%,0.0
9,41.98%,69.82%,1.0
10,43.81%,70.98%,1.0
11,42.79%,70.49%,0.0
12,43.70%,70.76%,0.0
13,46.34%,72.28%,1.0
14,45.04%,72.27%,0.0
15,46.45%,73.80%,1.0
16,45.86%,73.59%,0.0
17,46.44%,72.91%,0.0
18,45.20%,72.90%,0.0
19,48.04%,74.12%,1.0
20,46.75%,73.34%,0.0
21,45.61%,72.68%,0.0
22,48.13%,74.30%,1.0
23,47.06%,73.40%,0.0
24,45.71%,72.09%,0.0
25,48.78%,74.95%,1.0
26,45.12%,71.16%,0.0
27,49.03%,74.93%,1.0
28,49.95%,75.00%,1.0
29,49.50%,74.85%,0.0
30,46.85%,73.56%,0.0
31,45.81%,73.05%,0.0
32,48.87%,74.22%,0.0
33,47.69%,73.04%,0.0
34,48.29%,74.57%,0.0
35,49.20%,74.89%,0.0
36,46.90%,72.15%,0.0
37,47.69%,73.21%,0.0
38,47.90%,73.58%,0.0
39,47.85%,73.31%,0.0
40,48.25%,73.57%,0.0
41,47.72%,74.07%,0.0
42,49.00%,73.96%,0.0
43,46.44%,72.90%,0.0
44,47.05%,73.03%,0.0
45,48.99%,74.55%,0.0
46,49.09%,74.41%,0.0
47,49.40%,75.06%,0.0
48,48.26%,73.91%,0.0
49,48.20%,73.55%,0.0
50,47.98%,73.84%,0.0
51,48.07%,74.62%,0.0
52,48.80%,74.61%,0.0
53,49.40%,73.81%,0.0
54,48.30%,73.28%,0.0
55,50.23%,74.93%,1.0
56,48.61%,74.14%,0.0
57,49.42%,74.49%,0.0
58,48.43%,74.99%,0.0
59,48.59%,74.19%,0.0
60,49.54%,75.17%,0.0
61,49.41%,75.09%,0.0
62,49.77%,74.94%,0.0
63,48.29%,74.50%,0.0
64,48.76%,73.99%,0.0
65,48.87%,74.10%,0.0
66,49.56%,75.48%,0.0
67,47.14%,71.83%,0.0
68,50.58%,75.75%,1.0
69,48.09%,73.21%,0.0
70,49.63%,74.84%,0.0
71,49.92%,75.43%,0.0
72,48.10%,73.77%,0.0
73,47.76%,73.44%,0.0
74,48.48%,74.78%,0.0
75,48.21%,74.55%,0.0
76,48.88%,74.29%,0.0
77,50.10%,75.71%,0.0
78,49.47%,74.83%,0.0
79,49.39%,74.62%,0.0
80,51.71%,76.27%,1.0
81,49.70%,75.65%,0.0
82,48.39%,74.07%,0.0
83,49.95%,74.61%,0.0
84,46.31%,72.35%,0.0
85,46.34%,71.82%,0.0
86,46.70%,72.68%,0.0
87,48.01%,73.59%,0.0
88,50.20%,75.44%,0.0
89,50.01%,75.14%,0.0
90,49.56%,75.02%,0.0
91,49.09%,74.23%,0.0
92,49.28%,74.72%,0.0
93,50.66%,75.54%,0.0
94,49.13%,74.14%,0.0
95,48.23%,74.19%,0.0
96,49.93%,75.03%,0.0
97,49.72%,74.94%,0.0
98,50.64%,76.42%,0.0
99,50.60%,76.41%,0.0
100,49.39%,75.04%,0.0
101,48.61%,72.76%,0.0
102,50.65%,75.00%,0.0
103,49.62%,74.74%,0.0
104,48.10%,73.62%,0.0
105,48.70%,74.09%,0.0
106,49.36%,74.42%,0.0
107,48.91%,74.20%,0.0
108,49.77%,75.13%,0.0
109,48.32%,74.33%,0.0
110,47.69%,73.65%,0.0
111,49.25%,74.72%,0.0
112,47.95%,73.35%,0.0
113,49.91%,75.76%,0.0
114,49.60%,74.76%,0.0
115,50.94%,76.26%,0.0
116,49.41%,75.40%,0.0
117,49.09%,74.81%,0.0
118,50.48%,76.26%,0.0
119,50.61%,75.90%,0.0
120,49.11%,75.33%,0.0
121,49.72%,75.13%,0.0
